,sem1_temp_mean,sem1_rain_mean,sem2_temp_mean,sem2_rain_mean,travel_idx,bus,train,living_idx,crime_idx,inter_stu_ratio,gvi_idx,sdg_idx,sem1_temp_mean,sem1_rain_mean,sem2_temp_mean,sem2_rain_mean,travel_idx,bus,train
0,28.38,161.4,28.09,204.86,94.0,1,1,85.59,32.98,0.253,83.98795180722891,54.0,28.38,161.4,28.09,204.86,94.0,1,1
1,6.79,80.62,6.72,97.23,14.08,1,1,65.79,42.2,0.32,86.0,81.0,6.79,80.62,6.72,97.23,14.08,1,1
2,15.53,69.06,19.97,73.54,35.75,1,0,63.04,35.8,0.1,92.0,63.0,15.53,69.06,19.97,73.54,35.75,1,0
3,7.35,49.725,10.675,56.25,94.69,1,1,94.23,53.19,0.372,73.0,83.0,7.35,49.725,10.675,56.25,94.69,1,1
4,-3.075,15.425,4.26,28.58,92.28,1,1,73.65,34.39,0.21,97.0,73.0,-3.075,15.425,4.26,28.58,92.28,1,1
5,-0.11,36.8,5.37,69.56,57.92,1,1,81.43,25.27,0.29,73.0,100.0,-0.11,36.8,5.37,69.56,57.92,1,1
6,10.3125,53.925,6.941667,72.76667,51.42,1,1,86.8,33.68,0.288,63.0,79.0,10.3125,53.925,6.941667,72.76667,51.42,1,1
7,2.18,60.1,5.7,61.35,0.03,1,0,68.69,32.85,0.14,92.0,63.0,2.18,60.1,5.7,61.35,0.03,1,0
8,5.9625,118.75,8.55,130.7,87.7,1,1,76.22,36.45,0.334,97.0,73.0,5.9625,118.75,8.55,130.7,87.7,1,1
9,8.166667,61.53333,10.2,75.2,36.58,1,1,72.35,47.38,0.304,86.0,81.0,8.166667,61.53333,10.2,75.2,36.58,1,1
10,19.28,14.64,23.79,12.96,0.59,1,0,81.92,48.41,0.23041176470588234,92.0,63.0,19.28,14.64,23.79,12.96,0.59,1,0
11,16.63,21.04,20.98,41.04,38.69,1,1,67.18,50.52,0.18,92.0,63.0,16.63,21.04,20.98,41.04,38.69,1,1
12,3.13,76.26,10.4,94.4,61.25,1,0,72.95,44.99,0.16,92.0,63.0,3.13,76.26,10.4,94.4,61.25,1,0
13,4.333333,32.83333,10.0,44.4,55.01,1,0,84.94,37.35,0.17,81.0,95.0,4.333333,32.83333,10.0,44.4,55.01,1,0
