name,country,city,univ_image,r1,s1,e1,r2,s2,e2,r3,s3,e3,r4,s4,e4,r5,s5,e5,sem1_temp_mean,sem1_rain_mean,sem1_period,sem2_temp_mean,sem2_rain_mean,sem2_period,domi,per_domi,travel_idx,title1,image1,title2,image2,title3,image3,trip_link,living_idx,crime_idx,language,inter_stu_ratio,bus,train,gvi_idx,sdg_idx,one_year,gpa,TOEFL,IELTS,etc,uniq,hashtag1,hashtag2,hashtag3,여행지1,여행지2
National University of Singapore,Singapore,Singapore,https://drive.google.com/uc?id=1pYBQRQmZWGls05AT0RCf4-jCU8L4YdUk,12,87.6,1,7,93.2,1,21,84.7,1,15,87.8,1,7,90,1,28.38,161.4,1-5,28.09,204.86,8-12,1,1,94,1. 가든즈 바이 더 베이,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/d9/0e/f0/gardens-by-the-bay.jpg?w=500&h=-1&s=1,2. 싱가포르 식물원,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/11/7f/e5/ce/beautiful-botanic-gardens.jpg?w=500&h=400&s=1,3. 싱가포르 동물원,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1f/d8/92/9b/rhino-feeding.jpg?w=500&h=400&s=1,https://www.tripadvisor.co.kr/Tourism-g294265-Singapore-Vacations.html,4,2,English,0.253,1,1,,54.00,1,3.2,79,6.0,,,부대시설이 엄청 좋지는 않지만 다양해요,큰 규모의 K-Pop 동아리가 있어요,9월 학기에만 동아리 모집이 활발해요,라오스,호주
University of Leeds,United Kingdom,Leeds,https://drive.google.com/uc?id=1NpYEPwJp4P48y1iboJNlIG3ZId3rFfM_,54,78.3,1,108,75.8,1,121,72.8,1,128,75.1,1,72,75.1,1,6.79,80.62,1-6,6.72,97.23,9-1,1,1,14.08,1. Royal Armouries Museum,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/2a/f6/86/the-royal-armouries.jpg?w=500&h=400&s=1,2. Roundhay Park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/df/49/00/img-20180929-123158-largejpg.jpg?w=500&h=-1&s=1,3. Temple Newsam,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/af/9c/94/temple-newsam.jpg?w=500&h=400&s=1,https://www.tripadvisor.co.kr/Tourism-g186411-Leeds_West_Yorkshire_England-Vacations.html,1,3,English,0.32,1,1,86,81.00,0,3.4,,6.0,,"A, B",수강신청을 메일로 진행해요,한국 관련동아리가 많아요,기숙사 신청시 체육시설을 무료로 이용할 수 있어요,요크,하이랜드
University of Texas at Austin,United States,Austin,https://drive.google.com/uc?id=1Rf63OOa_YD4P-Bnh6ghevwqpDpkteER6,50,78.8,1,26,84.5,1,164,69.6,1,33,83.2,1,55,77.5,1,15.53,69.06,1-5,19.97,73.54,8-12,1,1,35.75,1. Texas State Capitol,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/16/1f/48/state-capitol.jpg?w=500&h=400&s=1,2. 리버 워크,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/46/27/fa/river-walk.jpg?w=500&h=400&s=1,3. The Houston Museum of Natural Science,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/03/5d/22/20160109-105025-largejpg.jpg?w=500&h=400&s=1,https://www.tripadvisor.co.kr/Attractions-g28964-Activities-Texas.html,1,2,English,0.1,1,0,92,63.00,0,3.5,79,6.5,,,개강 2주전 교환학생을 위한 프로그램이 매일 열려요,전동 킥보드 사용을 많이 해요,현지호스트와 매칭시켜주는 문화교류 프로그램이 있어요,그랜드캐니언,마이애미
Sciences Po,France,Paris,https://drive.google.com/uc?id=1DSLSCkl3t-Jglfc614y49hFndbnk7WV_,175,69.2,1,,,0,,,0,,,0,65,76.3,1,7.35,49.725,1-4,10.675,56.25,9-12,0,0,94.69,1. 오르세 미술관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/26/b3/6e/20180601-122841-largejpg.jpg?w=500&h=-1&s=1,2.  노트르담 대성당,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0d/8d/a4/84/the-amazingly-detailed.jpg?w=500&h=-1&s=1,3.  생트 - 샤펠,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/1d/e5/9b/sainte-chapelle.jpg?w=500&h=400&s=1,https://www.tripadvisor.co.kr/Attractions-g187147-Activities-Paris_Ile_de_France.html,4,4,"English, French",0.372,1,1,73,83.00,0,3.0,87,6.0,TCF 400 or DELF/DALF B2,C,숙소는 빨리 알아볼수록 좋아요,부대시설이 부족해요,3학년 학생들이 전부 외국에 나가는 특성상 교환학생을 위한 프로그램이 잘되어있어요,모로코,안시
University of Calgary,Canada,Calgary,https://drive.google.com/uc?id=1aCUFOwFeh6BTb4QSTqpT0lPmcMkg6xjt,210,67.4,1,177,72.7,1,108,73.9,1,241,69,1,238,67.2,1,-3.075,15.425,1-4,4.26,28.58,8-12,1,0,92.28,1. Heritage Park Historical Village,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0b/79/69/37/heritage-park-historical.jpg?w=500&h=400&s=1,2. The Calgary Zoo,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/e9/81/5a/this-panda-is-getting.jpg?w=500&h=-1&s=1,3. Calgary Stampede,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/ac/8d/e1/the-midway-with-rides.jpg?w=500&h=-1&s=1,https://www.tripadvisor.co.kr/Tourism-g154913-Calgary_Alberta-Vacations.html,2,2,English,0.21,1,1,97,73.00,0,3.2,86,6.5,,B,최근에 지어져 시설이 깨끗해요,체육학에 특화된 학교에요,국제학생이 많아요,멕시코,쿠바
University of Helsinki,Finland,Helsinki,https://drive.google.com/uc?id=1UvCN7v8GxXnI7ED1l0Onxe4DcY3N9uvL,58,78,1,247,69.7,1,247,69.7,1,147,74,1,170,70,1,-0.11,36.8,1-5,5.37,69.56,8-12,1,0,57.92,1. Suomenlinna Kalesi,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/22/ce/00/aerial-image-of-suomenlinna.jpg?w=500&h=400&s=1,2.  암석 교회 (템펠리 아우키오 키루코),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/2b/77/ca/photo-juha-martinmaa.jpg?w=500&h=400&s=1,3. 세우라사리 야외박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/08/20/f5/21/caption.jpg?w=500&h=-1&s=1,https://www.tripadvisor.co.kr/Tourism-g189934-Helsinki_Uusimaa-Vacations.html,3,1,English,0.29,1,1,73,100.00,0,2.8,79,6.0,,,HOAS라는 비영리 단체가 기숙사를 운영해요,언어교육이 특출나 동아시아학과도 존재해요,학생복지가 좋아 저렴한 가격으로 학식과 체육시설을 누릴 수 있어요,라플란드,투르쿠
University of Amsterdam,Netherlands,Amsterdam,https://drive.google.com/uc?id=1AXNF9sGle3KXlsfPyZS4dJJOPje0eil0,21,84.6,1,148,73.8,1,34,81.9,1,68,79.1,1,23,82.6,1,10.3125,53.925,3-6,6.941667,72.76667,9-2,1,1,51.42,1. 암스테르담 국립 박물관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/13/15/eb/e2/vista-lateral.jpg?w=500&h=400&s=1,2.  안네 프랑크의 집 (안네 프랑카우스),https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/6d/ca/f9/cris-toala-olivares.jpg?w=500&h=400&s=1,3. 반 고흐 미술관,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1a/48/51/81/van-gogh-museum-foto.jpg?w=500&h=400&s=1,https://www.tripadvisor.co.kr/Attractions-g188590-Activities-Amsterdam_North_Holland_Province.html,4,2,English,0.288,1,1,63,79.00,0,3.3,92,6.5,,,부동산을 통해 집을 구하는데 절차가 복잡해요,교환학생을 위한 프로그램이 미비해요,City Campus로 건물들이 눈에 익는데 시간이 걸려요,덴하그,체코
University of Wisconsin-Madison,United States,Madison,https://drive.google.com/uc?id=1FhXGRevWhwUGjVoEQ_OwPd3oiWqkxKk5,86,74.9,1,92,76.8,1,81,75.9,1,50,80.7,1,81,74.5,1,2.18,60.1,1-5,5.7,61.35,9-12,1,1,0.03,1. Harley-Davidson Museum,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/7d/18/ae/harley-davidson-museum.jpg?w=500&h=-1&s=1,2. Wisconsin Deer Park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/06/29/ca/af/wisconsin-deer-park.jpg?w=500&h=-1&s=1,3. Wisconsin State Capitol,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0c/08/ac/00/dome-with-setting-sun.jpg?w=500&h=-1&s=1,https://www.tripadvisor.co.kr/Attractions-g28972-Activities-Wisconsin.html,2,2,English,0.14,1,0,92,63.00,0,3.5,95,6.5,,,공부량이 상당히 많은 학교에요,겨울이 길고 매우 추워요,학교 크기와 규모가 매우 커요(고려대 4배),퀘백,포틀랜드
University of British Columbia,Canada,Vancouver,https://drive.google.com/uc?id=1v29jlH8EOsHVrCsSanaS4a4TGuc7eHOL,30,82.6,1,36,83.3,1,36,83.3,1,26,84.6,1,31,81.6,1,5.9625,118.75,1-4,8.55,130.7,9-12,1,0,87.7,1. 스탠리 파크,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/a6/09/9f/beautiful-view-of-stanley.jpg?w=500&h=-1&s=1,2. 그랜빌 아일랜드,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/10/88/fc/c6/photo0jpg.jpg?w=500&h=-1&s=1,3. 밴쿠버 아쿠아리움,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/b9/e9/1e/don-t-mind-mei-m-just.jpg?w=500&h=400&s=1,https://www.tripadvisor.co.kr/Tourism-g154943-Vancouver_British_Columbia-Vacations.html,2,2,English,0.334,1,1,97,73.00,0,3.5,90,6.5,,A,캠퍼스가 매우 커 수업사이 이동시간 고려가 필수에요,학교안에 박물관이나 아트갤러리 그리고 클럽도 존재해요,자연경관이 너무 아름다운 도시에요,,
University of Nottingham,United Kingdom,Nottingham,https://drive.google.com/uc?id=1_m8sIRK7G8zu6SAaFkHw5ql6gfl318M3,116,72.9,1,118,75.3,1,67,77.2,1,169,72.4,1,138,71.4,1,8.166667,61.53333,1-6,10.2,75.2,9-11,1,1,36.58,1. Wollaton Hall and Park,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/05/fc/b5/54/caption.jpg?w=500&h=400&s=1,2. National Justice Museum,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/df/45/1f/the-national-justice.jpg?w=500&h=400&s=1,3. City of Caves,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/95/4a/5d/come-and-explore-how.jpg?w=500&h=400&s=1,https://www.tripadvisor.co.kr/Tourism-g186356-Nottingham_Nottinghamshire_England-Vacations.html,2,3,English,0.304,1,1,86,81.00,0,3.0,,6.0,,"A, B",종이로 수강신청을 진행해요,기숙사는 선착순 배정이에요,동아리는 정회원/비회원으로 나누어 활동하는 등 참여가 자유로워요,Wollaton Park,
